user_played, instrument_name, velocity, pitch, start (s), end (s)
True,flute,80,89,0.7317079999999999,1.4260684041666665
False,xylophone,80,89,0.7317079999999999,1.4626538041666663
True,flute,80,89,2.195124,2.8894844041666663
False,xylophone,80,89,2.195124,2.926069804166666
True,flute,80,89,3.6585399999999995,4.352900404166666
False,xylophone,80,89,3.6585399999999995,4.389485804166666
True,flute,80,89,5.121955999999999,5.816316404166666
False,xylophone,80,89,5.121955999999999,5.852901804166666
True,flute,80,89,6.585371999999999,7.279732404166666
False,xylophone,80,89,6.585371999999999,7.316317804166665
True,flute,80,89,8.048787999999998,8.743148404166666
False,xylophone,80,89,8.048787999999998,8.779733804166666
True,flute,80,89,9.512203999999999,10.206564404166665
False,xylophone,80,89,9.512203999999999,10.243149804166665
True,flute,80,89,10.975619999999997,11.669980404166665
False,xylophone,80,89,10.975619999999997,11.706565804166665
True,flute,80,89,12.439035999999998,13.133396404166664
False,xylophone,80,89,12.439035999999998,13.169981804166664
True,flute,80,89,13.902451999999998,14.596812404166664
False,xylophone,80,89,13.902451999999998,14.633397804166664
True,flute,80,89,15.365867999999997,16.060228404166665
False,xylophone,80,89,15.365867999999997,16.096813804166665
True,flute,80,89,16.829283999999998,17.523644404166664
False,xylophone,80,89,16.829283999999998,17.560229804166664
True,flute,80,89,18.292699999999996,18.987060404166662
False,xylophone,80,89,18.292699999999996,19.023645804166662
True,flute,80,89,19.756116,20.450476404166665
False,xylophone,80,89,19.756116,20.487061804166665
True,flute,80,89,21.219531999999997,21.913892404166663
False,xylophone,80,89,21.219531999999997,21.950477804166663
True,flute,80,77,22.682947999999996,23.377308404166662
False,xylophone,80,77,22.682947999999996,23.413893804166662
True,flute,80,88,24.146363999999995,24.840724404166664
False,xylophone,80,88,24.146363999999995,24.877309804166664
True,flute,80,88,25.609779999999997,26.304140404166663
False,xylophone,80,88,25.609779999999997,26.340725804166663
True,flute,80,88,27.073195999999996,27.767556404166662
False,xylophone,80,88,27.073195999999996,27.80414180416666
True,flute,80,76,28.536611999999995,29.23097240416666
False,xylophone,80,76,28.536611999999995,29.26755780416666
True,flute,80,86,30.000027999999997,30.694388404166663
False,xylophone,80,86,30.000027999999997,30.730973804166663
True,flute,80,86,31.463443999999996,32.15780440416666
False,xylophone,80,86,31.463443999999996,32.19438980416666
True,flute,80,86,32.92686,33.621220404166664
False,xylophone,80,86,32.92686,33.657805804166664
True,flute,80,74,34.39027599999999,35.08463640416666
False,xylophone,80,74,34.39027599999999,35.12122180416666
True,flute,80,82,35.853691999999995,36.54805240416666
False,xylophone,80,82,35.853691999999995,36.58463780416666
True,flute,80,82,37.317108,38.01146840416666
False,xylophone,80,82,37.317108,38.04805380416666
True,flute,80,81,38.78052399999999,39.47488440416666
False,xylophone,80,81,38.78052399999999,39.51146980416666
True,flute,80,89,40.243939999999995,40.93830040416666
False,xylophone,80,89,40.243939999999995,40.97488580416666
False,clarinet,96,41,40.97564799999999,46.09684180416666
True,saxophone,96,53,40.97564799999999,46.09684180416666
True,saxophone,96,41,40.97564799999999,46.09684180416666
False,french-horn,96,53,40.97564799999999,46.09684180416666
False,trombone,96,41,40.97564799999999,46.09684180416666
False,trombone,96,53,40.97564799999999,46.09684180416666
False,french-horn,96,53,40.97564799999999,46.09684180416666
False,tuba,96,41,40.97564799999999,46.09684180416666
False,trumpet,80,50,40.97564799999999,41.15781280416666
False,violin,112,35,40.97564799999999,41.52366680416666
False,trumpet,80,50,41.15857499999999,41.34073980416666
False,trumpet,80,50,41.34150199999999,41.52366680416666
False,tuba,80,76,41.34150199999999,41.70659380416666
False,trumpet,80,50,41.52442899999999,41.70659380416666
False,violin,112,35,41.52442899999999,41.70659380416666
True,flute,80,89,41.70735599999999,42.40171640416666
False,clarinet,80,89,41.70735599999999,42.43830180416666
False,trumpet,80,77,41.70735599999999,42.43830180416666
False,xylophone,80,89,41.70735599999999,42.43830180416666
False,trumpet,104,50,41.70735599999999,41.88952080416666
False,trumpet,104,52,41.70735599999999,41.88952080416666
False,violin,112,35,41.70735599999999,42.07244780416666
False,trumpet,80,50,41.890283,42.07244780416666
False,trumpet,80,50,42.073209999999996,42.255374804166664
False,tuba,80,76,42.073209999999996,42.43830180416666
False,trumpet,80,50,42.256136999999995,42.43830180416666
False,trumpet,80,50,42.439063999999995,42.62122880416666
False,trumpet,80,50,42.621990999999994,42.80415580416666
False,trumpet,80,50,42.804917999999994,42.98708280416666
False,violin,112,35,42.804917999999994,43.17000980416666
False,tuba,80,76,42.804917999999994,43.17000980416666
False,trumpet,80,50,42.98784499999999,43.17000980416666
True,flute,80,89,43.17077199999999,43.86513240416666
False,clarinet,80,89,43.17077199999999,43.90171780416666
False,trumpet,80,77,43.17077199999999,43.90171780416666
False,xylophone,80,89,43.17077199999999,43.90171780416666
False,trumpet,104,50,43.17077199999999,43.35293680416666
False,trumpet,104,52,43.17077199999999,43.35293680416666
False,violin,112,35,43.17077199999999,43.53586380416666
False,trumpet,80,50,43.35369899999999,43.53586380416666
False,clarinet,127,82,43.53662599999999,43.71879080416666
True,saxophone,127,70,43.53662599999999,43.71879080416666
False,trumpet,127,70,43.53662599999999,43.71879080416666
False,trumpet,127,82,43.53662599999999,43.71879080416666
False,trumpet,80,50,43.53662599999999,43.71879080416666
False,clarinet,108,81,43.71955299999999,44.08464480416666
True,saxophone,108,69,43.71955299999999,44.08464480416666
False,trumpet,108,69,43.71955299999999,44.08464480416666
False,trumpet,108,81,43.71955299999999,44.08464480416666
False,trumpet,104,50,43.71955299999999,43.90171780416666
False,trumpet,104,52,43.71955299999999,43.90171780416666
False,trumpet,80,50,43.90247999999999,44.08464480416666
False,violin,112,35,43.90247999999999,44.26757180416666
False,clarinet,100,77,44.085407,44.26757180416666
True,saxophone,100,65,44.085407,44.26757180416666
False,trumpet,100,65,44.085407,44.26757180416666
False,trumpet,100,77,44.085407,44.26757180416666
False,trumpet,80,50,44.085407,44.26757180416666
False,clarinet,115,82,44.268333999999996,44.450498804166656
True,saxophone,115,70,44.268333999999996,44.450498804166656
False,trumpet,115,70,44.268333999999996,44.450498804166656
False,trumpet,115,82,44.268333999999996,44.450498804166656
False,trumpet,80,50,44.268333999999996,44.450498804166656
False,violin,112,35,44.268333999999996,44.63342580416666
False,tuba,80,76,44.268333999999996,44.63342580416666
False,clarinet,91,81,44.451260999999995,44.81635280416666
True,saxophone,91,69,44.451260999999995,44.81635280416666
False,trumpet,91,69,44.451260999999995,44.81635280416666
False,trumpet,91,81,44.451260999999995,44.81635280416666
False,trumpet,80,50,44.451260999999995,44.63342580416666
True,flute,80,89,44.634187999999995,45.32854840416666
False,clarinet,80,89,44.634187999999995,45.36513380416666
False,trumpet,80,77,44.634187999999995,45.36513380416666
False,xylophone,80,89,44.634187999999995,45.36513380416666
False,trumpet,104,50,44.634187999999995,44.81635280416666
False,trumpet,104,52,44.634187999999995,44.81635280416666
False,clarinet,83,77,44.817114999999994,44.99927980416666
True,saxophone,83,65,44.817114999999994,44.99927980416666
False,trumpet,83,65,44.817114999999994,44.99927980416666
False,trumpet,83,77,44.817114999999994,44.99927980416666
False,trumpet,80,50,44.817114999999994,44.99927980416666
False,clarinet,94,82,45.00004199999999,45.18220680416666
True,saxophone,94,70,45.00004199999999,45.18220680416666
False,trumpet,94,70,45.00004199999999,45.18220680416666
False,trumpet,94,82,45.00004199999999,45.18220680416666
False,trumpet,80,50,45.00004199999999,45.18220680416666
False,tuba,80,76,45.00004199999999,45.36513380416666
False,clarinet,75,81,45.18296899999999,45.54806080416666
True,saxophone,75,69,45.18296899999999,45.54806080416666
False,trumpet,75,69,45.18296899999999,45.54806080416666
False,trumpet,75,81,45.18296899999999,45.54806080416666
False,trumpet,80,50,45.18296899999999,45.36513380416666
False,trumpet,80,50,45.36589599999999,45.54806080416666
False,clarinet,66,77,45.54882299999999,45.73098780416666
True,saxophone,66,65,45.54882299999999,45.73098780416666
False,trumpet,66,65,45.54882299999999,45.73098780416666
False,trumpet,66,77,45.54882299999999,45.73098780416666
False,trumpet,80,50,45.54882299999999,45.73098780416666
False,clarinet,74,82,45.73174999999999,45.91391480416666
True,saxophone,74,70,45.73174999999999,45.91391480416666
False,trumpet,74,70,45.73174999999999,45.91391480416666
False,trumpet,74,82,45.73174999999999,45.91391480416666
False,trumpet,80,50,45.73174999999999,45.91391480416666
False,violin,112,35,45.73174999999999,46.09684180416666
False,tuba,80,76,45.73174999999999,46.09684180416666
False,clarinet,58,81,45.91467699999999,46.27976880416666
True,saxophone,58,69,45.91467699999999,46.27976880416666
